ID;Consommation;Annee;Mois;Jour;Creneau;JourSem;NumSem;temp;cover;hum;dummyJF;vacances_zone_a;vacances_zone_b;vacances_zone_c;nb_zones
2016-01-11-12;53869191640;2016;1;11;12;lundi;2;9,663157895;93,75;73,92105263;0;0;0;0;0
2016-01-11-15;51943863870;2016;1;11;15;lundi;2;9,364864865;89,13793103;71,13513514;0;0;0;0;0
2016-01-11-18;55532174441;2016;1;11;18;lundi;2;8,143243243;82,77777778;73,56756757;0;0;0;0;0
2016-01-11-21;50256081072;2016;1;11;21;lundi;2;7,473684211;81,48148148;76,65789474;0;0;0;0;0
2016-01-12-00;46263494042;2016;1;12;0;mardi;2;7,289473684;84;77,55263158;0;0;0;0;0
2016-01-12-03;42811790229;2016;1;12;3;mardi;2;7,018421053;78,4;78,52631579;0;0;0;0;0
2016-01-12-06;52921097564;2016;1;12;6;mardi;2;6,584210526;67,5;78,71052632;0;0;0;0;0
2016-01-12-09;55827773086;2016;1;12;9;mardi;2;6,957894737;76,20689655;78,47368421;0;0;0;0;0
2016-01-12-12;54854835234;2016;1;12;12;mardi;2;8,5;79,85294118;70,84210526;0;0;0;0;0
2016-01-12-15;53065218920;2016;1;12;15;mardi;2;7,807894737;73,26923077;71,63157895;0;0;0;0;0
2016-01-12-18;57515940012;2016;1;12;18;mardi;2;6,447368421;74,03846154;74,76315789;0;0;0;0;0
2016-01-12-21;52575387540;2016;1;12;21;mardi;2;6,110526316;70,45454545;73,81578947;0;0;0;0;0
2016-01-13-00;48789225425;2016;1;13;0;mercredi;2;5,342105263;70,47619048;76,47368421;0;0;0;0;0
2016-01-13-03;45470960510;2016;1;13;3;mercredi;2;4,773529412;66,33333333;76,17647059;0;0;0;0;0
2016-01-13-06;55412381167;2016;1;13;6;mercredi;2;3,921052632;56,55172414;78,42105263;0;0;0;0;0
2016-01-13-09;58172322183;2016;1;13;9;mercredi;2;4,597368421;70,66666667;77,15789474;0;0;0;0;0
2016-01-13-12;56117711476;2016;1;13;12;mercredi;2;7,671052632;76,13043478;65,39473684;0;0;0;0;0
2016-01-13-15;53394942185;2016;1;13;15;mercredi;2;7,613157895;78,75;65,10526316;0;0;0;0;0
2016-01-13-18;58098795024;2016;1;13;18;mercredi;2;5,215789474;79,25925926;75,44736842;0;0;0;0;0
2016-01-13-21;53300712719;2016;1;13;21;mercredi;2;4,215789474;83,04347826;79,60526316;0;0;0;0;0
2016-01-14-00;49651818503;2016;1;14;0;jeudi;2;3,671052632;90,83333333;82,10526316;0;0;0;0;0
2016-01-14-03;45881151182;2016;1;14;3;jeudi;2;3,852631579;94,03846154;82,76315789;0;0;0;0;0
